person,screen_size,err_mm,err_mm_x,err_mm_y,dist_screen_mm, convert_pixel_method, model_method,net_improve
Default Name,13.3,164,17,163,1.0,Trigonometric,HeadPose,0 
Default Name,13.3,167,80,147,1.0,Linear,HeadPose,24 
person,screen_size,err_mm,err_mm_x,err_mm_y,dist_screen_mm, convert_pixel_method, model_method,net_improve
Default Name,13.3,47,46,4,56.0,Trigonometric,HeadPose,0 
Default Name,13.3,80,38,70,56.0,Linear,HeadPose,-14 
Default Name,13.3,131,126,35,56.0,Trigonometric,HeadPose,0 
Default Name,13.3,143,82,117,56.0,Linear,HeadPose,-11 
Default Name,13.3,131,113,67,56.0,Trigonometric,HeadPose,0 
Default Name,13.3,169,129,109,56.0,Linear,HeadPose,-7 
Default Name,13.3,93,77,52,56.0,Trigonometric,HeadPose,0 
Default Name,13.3,129,64,112,56.0,Linear,HeadPose,-15 
Default Name,13.3,111,110,7,56.0,Trigonometric,HeadPose,0 
Default Name,13.3,111,85,71,56.0,Linear,HeadPose,-9 
person,screen_size,err_mm,err_mm_x,err_mm_y,dist_screen_mm, convert_pixel_method, model_method,net_improve
Default Name,13.3,87,64,59,1.0,Trigonometric,HeadPose,0 
Default Name,13.3,326,153,288,1.0,Linear,HeadPose,0 
Default Name,13.3,114,2,114,1.0,Trigonometric,HeadPose,0 
Default Name,13.3,217,102,191,1.0,Linear,HeadPose,0 
Default Name,13.3,95,94,13,1.0,Trigonometric,HeadPose,0 
Default Name,13.3,322,3,322,1.0,Linear,HeadPose,0 
Default Name,13.3,125,111,57,1.0,Trigonometric,HeadPose,0 
Default Name,13.3,510,211,464,1.0,Linear,HeadPose,0 
Default Name,13.3,196,132,144,1.0,Trigonometric,HeadPose,0 
Default Name,13.3,395,196,343,1.0,Linear,HeadPose,0 
person,screen_size,err_mm,err_mm_x,err_mm_y,dist_screen_mm, convert_pixel_method, model_method,net_improve
Default Name,13.3,91,90,15,1.0,Trigonometric,HeadPose,0 
Default Name,13.3,66,32,57,1.0,Linear,HeadPose,0 
person,screen_size,err_mm,err_mm_x,err_mm_y,dist_screen_mm, convert_pixel_method, model_method,net_improve
Default Name,13.3,138,75,115,1.0,Trigonometric,HeadPose,0 
